Time,CV,MV,MVSP,DV1,DV2,DV3
84,71.95220184,46.3506012,46.35200119,70,24303.30078,0.650077999
85,71.95370483,46.34764862,46.35200119,70,24307.05078,0.650108993
86,71.9552002,46.34469986,46.37620163,70,24310.80078,0.650139987
87,71.95600128,46.35800171,46.38059998,70,24298.5,0.650125027
88,71.94229889,46.35760117,46.3608017,70,24301.90039,0.651511014
89,71.96350098,46.35509872,46.35879898,70,24291,0.650323987
90,71.94989777,46.35720062,46.41320038,70,24272.90039,0.649833024
91,71.94389343,46.37059784,46.41320038,70,24279.15039,0.650438547
92,71.93789673,46.38399887,46.39759827,70,24285.40039,0.651044011
93,71.95159912,46.375,46.38610077,70,24300.19922,0.65011102
94,71.94730377,46.37779999,46.38090134,70,24280.30078,0.649811029
95,71.93309784,46.37939835,46.38650131,70,24273.90039,0.650952995
96,71.93520355,46.37659836,46.38550186,70,24293.30078,0.649478018
97,71.93640137,46.37805176,46.38550186,70,24290.10156,0.648993492
98,71.93759918,46.37950134,46.40779877,70,24286.90039,0.648509026
99,71.92379761,46.38909912,46.38600159,70,24314.09961,0.649596989
100,71.93009949,46.39080048,46.37870026,70,24271.69922,0.649608016
101,71.91750336,46.38600159,46.39440155,70,24305.80078,0.649488986
102,71.92099762,46.3716011,46.39120102,70,24274.69922,0.648446023
103,71.92459869,46.37874985,46.39120102,70,24287.5,0.647040009
104,71.92819977,46.38589859,46.37969971,70,24300.30078,0.645633996
105,71.91210175,46.39799881,46.41130066,70,24264.40039,0.645500004
106,71.90920258,46.40340042,46.4070015,70,24293.5,0.641106009
107,71.93659973,46.39899826,46.36389923,70,24286.30078,0.636000991
108,71.91480255,46.38629913,46.40530014,70,24277.09961,0.629903018
109,71.92045593,46.39215088,46.40530014,70,24277.55078,0.629517496
110,71.92610168,46.39799881,46.40750122,70,24278,0.629131973
111,71.90989685,46.40499878,46.39110184,70,24268.80078,0.627726972
112,71.90239716,46.40879822,46.42079926,70,24275,0.628530979
113,71.91149902,46.41460037,46.39680099,70,24298.09961,0.627961993
114,71.89920044,46.39899826,46.42649841,70,24290.09961,0.627032995
115,71.90135193,46.41014862,46.42649841,70,24292.39844,0.626993001
116,71.90350342,46.42129898,46.42919922,70,24294.69922,0.626953006
117,71.90899658,46.43470001,46.4272995,70,24313.5,0.626405001
118,71.91439819,46.42409897,46.41230011,70,24298.69922,0.626524985
119,71.89980316,46.45679855,46.44300079,70,24339.59961,0.626222014
120,71.90630341,46.43149948,46.4552002,70,24311.90039,0.626456022
121,71.90490723,46.43709946,46.4552002,70,24309.25,0.626597524
122,71.90350342,46.44269943,46.40240097,70,24306.59961,0.626739025
123,71.90419769,46.44839859,46.46300125,70,24302.80078,0.626875997
124,71.89749908,46.44530106,46.44219971,70,24306.30078,0.626673996
125,71.89759827,46.45610046,46.45320129,70,24345.90039,0.625867009
126,71.896698,46.45050049,46.45690155,70,24305.19922,0.625901997
127,71.89875031,46.45690155,46.45690155,70,24294.34961,0.626075029
128,71.90080261,46.4632988,46.4858017,70,24283.5,0.626248002
129,71.87580109,46.45460129,46.49229813,70,24340.59961,0.625181019
130,71.88800049,46.46120071,46.46110153,70,24313.90039,0.625042975
131,71.89640045,46.45449829,46.44250107,70,24298.80078,0.626192987
132,71.89929962,46.45119858,46.4966011,70,24324.19922,0.624962986
133,71.89569855,46.45690155,46.4966011,70,24315.05078,0.625138998
134,71.89209747,46.46260071,46.46659851,70,24305.90039,0.625315011
135,71.8911972,46.46500015,46.49069977,70,24327.19922,0.624651015
136,71.86830139,46.44810104,46.5019989,70,24336.59961,0.624431014
137,71.89450073,46.48490143,46.44290161,70,24300.59961,0.625370026
138,71.86940002,46.48080063,46.50139999,70,24283.09961,0.626370013
139,71.87184906,46.46870041,46.50139999,70,24273.30078,0.626720548
140,71.8742981,46.45660019,46.51010132,70,24263.5,0.627071023
141,71.873703,46.47520065,46.51010132,70,24292.69922,0.626704991
